Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Chile,Climate Watch,Total including LUCF,All GHG,MtCO₂e,55.33,49.87,50.93,48.81,21.32,15.25,22.52,19.32,16.91,55.63,50.5,53.01,48.15,40.41,39.17,38.52,33.16,32.43,31.74,52.66,56.63,53.75,52.71,45.49,39.0,35.1,31.09,28.54,27.04,28.09
China,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12055.41,11821.66,11385.48,11151.31,11108.86,11228.48,11168.26,10675.66,10388.48,9887.06,9055.11,8480.5,8224.19,7614.35,6934.85,6172.83,5387.28,4736.95,4430.04,4221.08,4028.58,4095.97,3977.65,3982.11,3960.71,3557.37,3397.8,3168.05,3039.15,2891.73
Colombia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,270.53,265.37,256.46,261.48,232.02,231.15,227.54,220.55,221.67,241.74,236.79,233.16,232.47,227.02,225.83,224.14,222.3,220.54,222.44,232.98,228.8,240.31,238.3,232.29,232.18,228.11,225.6,220.74,217.62,216.21
Comoros,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.7,0.68,0.65,0.58,0.54,0.52,0.53,0.5,0.48,0.48,0.44,0.41,0.38,0.46,0.45,0.42,0.41,0.39,0.38,0.36,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.32
Cook Islands,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.1,0.1,0.1,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.07,0.08,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03
Costa Rica,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.48,8.48,8.2,8.0,7.08,7.18,7.18,6.68,6.69,12.8,12.69,13.12,12.98,11.57,11.24,10.71,10.7,10.33,10.32,12.93,13.07,13.28,12.55,12.5,12.53,12.94,12.52,12.44,11.3,11.0
Croatia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,17.92,17.87,18.98,18.33,21.11,20.5,21.3,22.4,24.39,25.32,25.88,28.44,29.26,27.74,27.02,27.08,27.36,26.25,25.2,24.38,25.33,25.81,25.4,23.79,24.63,23.32,23.24,22.39,21.39,27.73
Cuba,Climate Watch,Total including LUCF,All GHG,MtCO₂e,38.19,39.24,38.78,40.1,32.51,30.52,32.51,32.14,31.13,33.5,32.5,31.71,32.34,31.29,30.27,30.21,30.83,31.69,32.83,33.23,32.82,32.29,32.73,30.5,27.81,26.66,25.23,28.66,34.83,44.02
Cyprus,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.29,8.31,8.49,8.35,7.9,7.82,7.42,8.13,8.64,8.95,9.27,9.45,9.23,8.9,8.76,8.65,8.71,8.04,7.81,8.09,7.82,7.54,7.21,7.13,6.74,6.85,6.6,6.33,5.9,5.37
Czech Republic,Climate Watch,Total including LUCF,All GHG,MtCO₂e,110.77,115.4,116.77,117.17,116.83,114.51,117.91,123.67,126.35,125.8,124.37,131.99,137.03,134.07,133.07,136.14,135.6,131.25,136.86,134.66,123.83,131.91,138.51,140.99,139.39,139.45,146.75,151.4,155.82,172.53
