Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Togo,Climate Watch,Total including LUCF,All GHG,MtCO₂e,8.71,8.43,8.09,8.21,7.92,7.17,7.43,7.54,7.99,7.51,7.68,6.19,5.86,6.17,6.75,5.85,6.13,5.52,5.07,7.12,7.62,7.21,6.25,6.49,5.91,5.95,5.68,5.8,6.11,6.27
Tonga,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.31,0.31,0.33,0.3,0.26,0.26,0.26,0.25,0.25,0.26,0.28,0.26,0.26,0.28,0.27,0.26,0.26,0.23,0.23,0.23,0.25,0.24,0.24,0.24,0.26,0.26,0.26,0.25,0.26,0.25
Trinidad and Tobago,Climate Watch,Total including LUCF,All GHG,MtCO₂e,28.47,28.81,28.87,28.65,32.23,33.14,33.11,32.13,32.57,31.59,28.8,29.61,29.95,29.19,25.65,23.58,22.52,18.74,17.08,15.28,14.46,14.04,13.62,13.15,12.07,12.46,15.88,20.02,20.09,20.17
Tunisia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,37.81,37.61,37.45,37.15,45.61,45.31,42.96,43.18,41.5,37.37,34.92,34.59,34.05,32.71,31.56,30.86,29.6,29.77,29.64,29.13,27.83,26.34,24.95,24.4,23.02,22.53,22.8,22.57,21.24,20.33
Turkey,Climate Watch,Total including LUCF,All GHG,MtCO₂e,459.86,470.65,472.27,430.35,372.37,365.03,339.78,348.92,333.37,327.48,317.49,314.43,317.29,287.68,258.46,246.0,239.99,228.49,218.22,266.14,242.2,242.32,241.1,232.11,214.4,199.89,204.73,198.44,190.95,188.5
Turkmenistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,157.33,154.97,152.51,152.94,155.08,151.33,151.15,144.42,136.68,116.62,104.87,131.74,126.4,117.37,115.59,112.66,105.86,93.87,89.5,88.76,74.69,60.89,59.67,69.43,73.25,72.48,79.66,72.9,103.32,111.39
Tuvalu,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Uganda,Climate Watch,Total including LUCF,All GHG,MtCO₂e,59.15,58.68,57.15,56.13,54.91,52.95,51.88,51.97,50.34,50.36,48.68,47.92,41.4,38.81,40.18,38.19,38.08,36.12,35.11,35.46,35.63,35.93,34.56,33.08,32.15,31.33,31.67,31.34,31.0,30.34
Ukraine,Climate Watch,Total including LUCF,All GHG,MtCO₂e,221.29,232.76,221.2,247.28,233.56,282.98,317.11,321.75,329.07,303.06,283.1,338.19,349.31,340.19,333.05,346.11,372.22,347.4,342.82,317.3,328.29,334.86,362.84,386.88,447.55,471.12,560.95,644.43,733.77,776.11
United Arab Emirates,Climate Watch,Total including LUCF,All GHG,MtCO₂e,243.55,229.38,248.69,252.92,245.22,231.8,230.89,219.59,207.49,201.89,194.38,194.02,168.25,157.12,150.1,141.21,133.42,125.4,123.08,109.02,108.83,106.99,104.95,101.71,97.34,92.2,83.62,79.19,81.07,73.25
United Kingdom,Climate Watch,Total including LUCF,All GHG,MtCO₂e,429.13,442.48,450.65,465.58,487.0,502.35,541.85,559.23,539.08,580.39,567.88,623.87,644.25,659.56,663.04,668.94,674.12,665.2,683.35,673.09,670.94,694.89,697.17,717.08,695.56,703.47,706.27,724.82,742.68,733.87
United States,Climate Watch,Total including LUCF,All GHG,MtCO₂e,5771.0,5892.37,5689.61,5743.85,5665.21,5779.54,5734.28,5593.25,5811.96,6026.14,5757.6,6184.08,6367.28,6260.2,6352.14,6331.91,6245.34,6182.64,6335.1,6372.54,6210.12,6208.83,6160.86,5901.0,5729.69,5661.57,5567.55,5456.12,5372.08,5417.32
Uruguay,Climate Watch,Total including LUCF,All GHG,MtCO₂e,34.36,34.47,34.57,35.33,29.87,30.03,30.54,31.53,30.67,26.03,28.43,28.88,26.3,27.34,25.21,25.04,23.13,22.24,21.93,19.07,20.94,19.88,20.29,20.58,19.25,19.05,19.16,18.63,17.02,15.41
Uzbekistan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,185.39,180.45,172.94,167.53,157.91,162.99,170.72,171.9,187.16,175.52,163.64,176.45,167.15,171.71,160.98,166.14,162.44,170.57,164.22,172.29,164.9,164.64,147.77,143.71,142.41,154.05,157.87,155.29,165.77,164.44
Vanuatu,Climate Watch,Total including LUCF,All GHG,MtCO₂e,0.87,0.86,0.82,0.82,0.77,0.79,0.73,0.73,0.73,0.71,0.69,0.7,0.7,0.58,0.57,0.56,0.57,0.55,0.55,0.57,0.59,0.58,0.58,0.58,0.56,0.55,0.55,0.52,0.5,0.48
Venezuela,Climate Watch,Total including LUCF,All GHG,MtCO₂e,299.6,337.05,363.75,393.2,479.92,502.49,505.11,502.83,466.48,448.86,440.83,449.49,437.43,442.27,442.96,429.08,413.7,425.02,429.42,483.44,469.51,488.46,481.25,464.23,442.06,421.76,418.23,409.38,406.89,396.96
Vietnam,Climate Watch,Total including LUCF,All GHG,MtCO₂e,438.11,386.8,330.0,323.08,311.63,270.66,256.19,241.58,240.18,276.95,258.24,235.76,226.29,212.04,208.13,198.75,178.87,173.7,157.69,63.44,55.9,52.13,40.91,33.39,25.92,18.39,13.52,8.27,5.84,2.12
World,Climate Watch,Total including LUCF,All GHG,MtCO₂e,49758.23,49368.04,48251.88,47531.68,46871.77,46881.78,46238.61,45597.14,45041.81,44877.51,43089.45,43139.1,42858.96,42072.13,40569.33,39655.31,37803.86,36839.69,35884.07,35835.48,35101.9,35099.21,35537.18,34179.33,33805.61,33015.04,32729.06,32588.09,32670.51,32523.58
Yemen,Climate Watch,Total including LUCF,All GHG,MtCO₂e,25.26,23.86,23.84,23.9,29.46,52.32,54.09,44.5,48.94,52.17,49.56,46.36,46.6,45.86,44.57,42.24,41.8,38.23,38.15,36.86,33.89,31.16,29.9,28.13,27.48,26.31,21.45,20.11,19.55,17.8
Zambia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,91.36,90.12,90.9,90.8,91.79,86.78,86.31,85.15,81.37,67.22,61.07,64.46,62.14,59.54,64.21,61.63,61.12,55.45,52.28,46.59,50.05,51.69,50.44,49.94,58.68,58.9,59.62,60.06,59.91,59.54
Zimbabwe,Climate Watch,Total including LUCF,All GHG,MtCO₂e,117.96,118.22,115.59,115.92,42.3,40.39,42.17,42.29,42.18,39.54,36.77,35.8,37.74,37.2,38.27,37.54,37.46,39.91,42.67,41.58,44.46,42.12,40.83,41.71,39.8,39.98,40.25,43.81,42.98,42.69
